title,author,rating,image,url,genre,week
별을 쫓는 소년들,HYBE,8.99,https://image-comic.pstatic.net/webtoon/786979/thumbnail/thumbnail_IMAG21_495b3195-2185-458e-a07b-4af0f4ff6532.jpg,https://comic.naver.com/webtoon/list?titleId=786979,#판타지#히어로#연예계,월
연애 연기대상,김충전 / 일공팔,9.90,https://image-comic.pstatic.net/webtoon/803123/thumbnail/thumbnail_IMAG21_4a7c5fbd-fe54-484c-a2e6-0ec548fbbb5c.jpg,https://comic.naver.com/webtoon/list?titleId=803123,#로맨스#고자극로맨스#2030연애#로맨스코미디#계약연애#캠퍼스로맨스#청춘로맨스,월
너는 그냥 개그만화나 그려라,조석,9.96,https://image-comic.pstatic.net/webtoon/814543/thumbnail/thumbnail_IMAG21_b9d0083f-ced5-4ba8-ac33-c685b96d611a.jpg,https://comic.naver.com/webtoon/list?titleId=814543,#개그#요즘핫한추천작#지금추천작,화
김부장,박태준 만화회사 / 정종택,9.48,https://image-comic.pstatic.net/webtoon/783053/thumbnail/thumbnail_IMAG21_d7732f14-26da-4e35-8762-660cc87b53f1.jpg,https://comic.naver.com/webtoon/list?titleId=783053,#액션#사이다#먼치킨#다크히어로#느와르,화
내가 키운 S급들,seri / 비완 / 근서,9.95,https://image-comic.pstatic.net/webtoon/784248/thumbnail/thumbnail_IMAG21_20a8aca7-23d3-4bc0-9916-a31ebc884ca8.jpg,https://comic.naver.com/webtoon/list?titleId=784248,#판타지#회귀#헌터물#이능력배틀물#소년왕도물#먼치킨#소설원작,화
마루는 강쥐,모죠,9.98,https://image-comic.pstatic.net/webtoon/796152/thumbnail/thumbnail_IMAG21_26b9c1d8-ca2d-4fc7-87ea-a3334634236a.jpg,https://comic.naver.com/webtoon/list?titleId=796152,#개그#무해한#햇살캐#4차원#동물,화
멸망 이후의 세계,S-Cynan / 언데드 감자 / 싱숑,9.92,https://image-comic.pstatic.net/webtoon/789979/thumbnail/thumbnail_IMAG21_792cd36e-d722-4970-933b-3da7c37ee812.jpg,https://comic.naver.com/webtoon/list?titleId=789979,#판타지#레드아이스 스튜디오#차원이동#아포칼립스#소설원작,화
대학원 탈출일지,요다,9.97,https://image-comic.pstatic.net/webtoon/790713/thumbnail/thumbnail_IMAG21_3919364435331003700.jpg,https://comic.naver.com/webtoon/list?titleId=790713,#일상#하이퍼리얼리즘,화금
사신소년,류,9.90,https://image-comic.pstatic.net/webtoon/730656/thumbnail/thumbnail_IMAG21_fc6d8dbf-eed2-43d0-af45-2edb3cc4244e.jpg,https://comic.naver.com/webtoon/list?titleId=730656,#액션#이능력배틀물#소년왕도물#먼치킨,화
한림체육관,혜성 / 이석재,9.77,https://image-comic.pstatic.net/webtoon/743139/thumbnail/thumbnail_IMAG21_6012f944-ea1f-4328-ba22-bca09be494ee.jpg,https://comic.naver.com/webtoon/list?titleId=743139,#액션#블루스트링#슈퍼스트링#학원물#소년왕도물,화
용사가 돌아왔다,나락 / 풍백,9.50,https://image-comic.pstatic.net/webtoon/773459/thumbnail/thumbnail_IMAG21_e8b3af6c-d4ed-42c4-9b8d-8c19e766428e.jpg,https://comic.naver.com/webtoon/list?titleId=773459,#액션#차원이동#아포칼립스#먼치킨#다크판타지,기타
성검전설,최다킬,9.94,https://image-comic.pstatic.net/webtoon/814356/thumbnail/thumbnail_IMAG21_8ab854ac-f59a-4065-9287-cdfc336eb438.jpg,https://comic.naver.com/webtoon/list?titleId=814356,#개그#2022 지상최대공모전#고인물#사이다#먼치킨#다크히어로,화
